Week,Coefficient
2020-01-19,-0.00055060082279703
2020-01-26,-0.000310896256164052
2020-02-02,-4.68553501762664e-05
2020-03-01,0.000611682445886594
2020-03-08,0.00149078056131287
2020-03-15,0.00383420201027736
2020-03-22,0.000396319454457162
2020-03-29,0.00168346688161901
2020-04-05,0.00190904975255017
2020-04-12,0.00313709175219395
2020-04-19,0.00150941833306807
2020-04-26,0.00090896046694512
2020-05-03,0.00206375631119423
2020-05-10,0.00244029534477211
2020-05-17,-0.000809780115088751
2020-05-24,-0.000303227449259007
2020-05-31,-0.000681709498980931
2020-06-07,-0.0011747701315549
2020-06-14,6.30341324986297e-06
2020-06-21,-0.000439944329110384
2020-06-28,0.00136185150915605
2020-07-05,-0.000879076409264915
2020-07-12,-0.000683777308066669
2020-07-19,-0.000136455503816052
2020-07-26,-0.00203913217210159
2020-08-02,-0.000736657193387985
